Grupos,CaixaPostal,ReduzioAtraso,PFPJ,AtrasoAgosto,AtrasoOutubro,AtrasoDezembro,Variacao,Deducao
Controle,"NA",sim,PJ,2,1,1,0,657.7274255406144
Controle,"NA",sim,PJ,1,3,5,2,628.9279195552663
Controle,"NA",sim,PF,2,0,2,2,662.6860455496451
Controle,"NA",sim,PF,2,3,3,0,674.2643335396697
Controle,"NA",sim,PJ,2,3,3,0,644.770985514907
Controle,"NA",sim,PF,3,4,6,2,602.1773384106624
Controle,"NA",sim,PF,0,2,3,1,654.1015590425471
Controle,"NA",sim,PF,0,2,5,3,610.8406229117408
Controle,"NA",sim,PF,2,4,5,1,452.69417346531054
Controle,"NA",sim,PF,2,5,5,0,680.8177352168354
Controle,"NA",sim,PJ,3,4,4,0,703.4422375950243
Controle,"NA",sim,PF,1,0,1,1,635.7313431066087
Controle,"NA",sim,PF,1,2,3,1,521.7731648260809
Controle,"NA",sim,PF,3,4,6,2,800.8872057199178
Controle,"NA",sim,PF,0,0,1,1,631.9018069594807
Controle,"NA",sim,PJ,2,3,4,1,822.2994989960974
Controle,"NA",sim,PJ,2,1,0,-1,601.5821726966867
Controle,"NA",sim,PF,1,3,4,1,549.6650667444725
Controle,"NA",sim,PF,2,4,6,2,446.88880637615046
Controle,"NA",sim,PF,5,5,6,1,432.1029762259142
Controle,"NA",sim,PJ,1,3,5,2,570.391916623832
Controle,"NA",sim,PF,4,3,3,0,704.5233060154202
Controle,"NA",sim,PJ,1,0,0,0,575.3171089196395
Controle,"NA",sim,PJ,2,3,5,2,700.9318002846798
Controle,"NA",sim,PF,0,0,2,2,669.7433015964475
Controle,"NA",sim,PJ,2,3,4,1,540.021131510869
Controle,"NA",sim,PJ,1,6,6,0,703.3801593745014
Controle,"NA",sim,PF,1,2,3,1,566.5558574620459
Controle,"NA",sim,PF,1,2,3,1,782.4016007622841
Controle,"NA",sim,PF,2,3,7,4,634.2456983373096
Controle,"NA",sim,PF,2,0,1,1,471.0280909320022
Controle,"NA",sim,PJ,1,2,1,-1,573.4415541398007
Controle,"NA",sim,PF,1,4,4,0,644.295929388322
Controle,"NA",sim,PJ,1,1,2,1,739.2569529851538
Controle,"NA",sim,PF,2,5,6,1,631.6907924390212
Controle,"NA",sim,PF,2,1,3,2,537.8823592908655
Controle,"NA",sim,PJ,2,5,6,1,618.9432483566333
Controle,"NA",sim,PF,4,9,10,1,434.4533003477252
Controle,"NA",sim,PJ,2,3,5,2,677.3234669222561
Controle,"NA",sim,PF,1,1,0,-1,684.4879428681342
Controle,"NA",sim,PF,3,3,5,2,571.290992850911
Controle,"NA",sim,PF,4,3,4,1,896.7240618432497
Controle,"NA",sim,PF,2,4,4,0,683.205105189223
Controle,"NA",sim,PJ,2,6,7,1,657.7523901814952
Controle,"NA",sim,PF,4,3,4,1,686.5562362927056
Controle,"NA",sim,PF,2,4,6,2,576.7864513106606
Controle,"NA",sim,PF,1,4,5,1,631.3159299715129
Controle,"NA",sim,PF,1,2,3,1,624.2839332209857
Controle,"NA",sim,PF,0,0,2,2,618.7266864473987
Controle,"NA",sim,PJ,2,3,4,1,673.0383822433391
Controle,"NA",sim,PJ,1,0,1,1,617.5407845687009
Controle,"NA",sim,PF,0,0,0,0,748.1998726114233
